Year_Group,continent,Region,Population,Season,Climate,nb_medals,PIB_per_Capita
1945-1990,Oceania,Vanuatu,102203.25806451614,Summer,Moderate climate (5 C-25 C),6.0,1193.7642727272726
1945-1990,Africa,Zambia,5179880.580645162,Summer,Moderate climate (5 C-25 C),21.333333333333332,1610.63
1991-2020,Asia,Afghanistan,26646818.363636363,Summer,Moderate climate (5 C-25 C),5.857142857142857,1946.9195238095238
1991-2020,Europe,Albania,2994924.9696969697,Summer,Moderate climate (5 C-25 C),8.5,9137.014285714286
1991-2020,Europe,Albania,2994924.9696969697,Winter,Moderate climate (5 C-25 C),2.3333333333333335,9137.014285714286
1991-2020,Africa,Algeria,35229466.18181818,Summer,Moderate climate (5 C-25 C),52.5,11972.626857142857
1991-2020,Africa,Algeria,35229466.18181818,Winter,Moderate climate (5 C-25 C),4.0,11972.626857142857
1991-2020,Europe,Andorra,72329.45454545454,Summer,Moderate climate (5 C-25 C),5.625,57681.330625
1991-2020,Europe,Andorra,72329.45454545454,Winter,Moderate climate (5 C-25 C),11.571428571428571,57681.330625
1991-2020,Africa,Angola,22194187.848484848,Summer,Moderate climate (5 C-25 C),29.625,5274.228571428572
1991-2020,South America,Argentina,39974693.78787879,Summer,Moderate climate (5 C-25 C),115.6,16782.712285714282
1991-2020,South America,Argentina,39974693.78787879,Winter,Moderate climate (5 C-25 C),20.625,16782.712285714282
1991-2020,Asia,Armenia,3140923.393939394,Summer,Moderate climate (5 C-25 C),27.571428571428573,8262.699999999999
1991-2020,Asia,Armenia,3140923.393939394,Winter,Moderate climate (5 C-25 C),7.833333333333333,8262.699999999999
1991-2020,North America,Aruba,96089.45454545454,Summer,Hot climate (>25 C),4.25,34898.26685714286
1991-2020,Oceania,Australia,21355714.303030305,Summer,Moderate climate (5 C-25 C),255.73684210526315,40029.61571428572
1991-2020,Oceania,Australia,21355714.303030305,Winter,Moderate climate (5 C-25 C),38.333333333333336,40029.61571428572
1991-2020,Europe,Austria,8343110.454545454,Summer,Moderate climate (5 C-25 C),91.5,42369.49628571429
1991-2020,Europe,Austria,8343110.454545454,Winter,Moderate climate (5 C-25 C),106.0909090909091,42369.49628571429
1991-2020,Asia,Azerbaijan,8763458.969696969,Summer,Moderate climate (5 C-25 C),45.714285714285715,10616.613235294117
1991-2020,Asia,Azerbaijan,8763458.969696969,Winter,Moderate climate (5 C-25 C),3.6,10616.613235294117
1991-2020,Asia,Bahrain,1011227.0,Summer,Hot climate (>25 C),16.125,46557.073142857145
1991-2020,Asia,Bangladesh,145430553.27272728,Summer,Hot climate (>25 C),6.25,3701.1165714285717
1991-2020,North America,Barbados,271091.1212121212,Summer,Hot climate (>25 C),15.875,14557.07057142857
1991-2020,Europe,Belarus,9703938.030303031,Summer,Moderate climate (5 C-25 C),197.57142857142858,13397.327352941176
1991-2020,Europe,Belarus,9703938.030303031,Winter,Moderate climate (5 C-25 C),90.16666666666667,13397.327352941176
1991-2020,Europe,Belgium,10753907.454545455,Summer,Moderate climate (5 C-25 C),147.8235294117647,40020.412
1991-2020,Europe,Belgium,10753907.454545455,Winter,Moderate climate (5 C-25 C),14.545454545454545,40020.412
1991-2020,North America,Belize,295645.2727272727,Summer,Hot climate (>25 C),5.125,8339.972857142857
1991-2020,Africa,Benin,9268014.181818182,Summer,Hot climate (>25 C),5.625,2440.806
1991-2020,Asia,Bhutan,668878.1212121212,Summer,Moderate climate (5 C-25 C),3.5,7129.112571428572
1991-2020,Europe,Bosnia and Herzegovina,3802568.484848485,Summer,Moderate climate (5 C-25 C),10.125,10635.656333333334
1991-2020,Europe,Bosnia and Herzegovina,3802568.484848485,Winter,Moderate climate (5 C-25 C),10.166666666666666,10635.656333333334
1991-2020,Africa,Botswana,1917947.3333333333,Summer,Moderate climate (5 C-25 C),9.875,12225.65857142857
1991-2020,South America,Brazil,185974705.0909091,Summer,Hot climate (>25 C),223.15384615384616,13028.381714285713
1991-2020,South America,Brazil,185974705.0909091,Winter,Hot climate (>25 C),9.142857142857142,13028.381714285713
1991-2020,Europe,Bulgaria,7627603.2727272725,Summer,Moderate climate (5 C-25 C),90.83333333333333,15781.027142857141
1991-2020,Europe,Bulgaria,7627603.2727272725,Winter,Moderate climate (5 C-25 C),42.625,15781.027142857141
1991-2020,Africa,Burkina Faso,15325394.0,Summer,Hot climate (>25 C),5.25,1456.1476857142857
1991-2020,Africa,Burundi,8786085.06060606,Summer,Moderate climate (5 C-25 C),6.571428571428571,652.5319428571428
1991-2020,Asia,Cambodia,13553278.424242424,Summer,Hot climate (>25 C),4.571428571428571,3429.913085714286
1991-2020,Africa,Cameroon,18808910.696969695,Summer,Moderate climate (5 C-25 C),23.375,2904.8605714285713
1991-2020,Africa,Cameroon,18808910.696969695,Winter,Moderate climate (5 C-25 C),2.0,2904.8605714285713
