Year_Group,continent,Region,Population,Climate,nb_medals,PIB_per_Capita
1991-2020,North America,Costa Rica,4309694.96969697,Moderate climate (5 C-25 C),10.166666666666666,13784.968285714285
1991-2020,Europe,Croatia,4288401.363636363,Moderate climate (5 C-25 C),63.333333333333336,21740.781470588237
1991-2020,Europe,Cyprus,1073645.4848484849,Moderate climate (5 C-25 C),12.4,32210.141428571427
1991-2020,Europe,Denmark,5503730.545454546,Moderate climate (5 C-25 C),96.48,44679.88971428571
1991-2020,Africa,Djibouti,873497.1212121212,Hot climate (>25 C),4.857142857142857,3925.436857142857
1991-2020,North America,Dominica,68786.33333333333,Hot climate (>25 C),2.625,9111.822285714286
1991-2020,North America,Dominican Republic,9419281.242424242,Moderate climate (5 C-25 C),32.0,12215.616571428573
1991-2020,South America,Ecuador,14377742.878787879,Moderate climate (5 C-25 C),25.555555555555557,8881.080857142857
1991-2020,North America,El Salvador,6010689.363636363,Hot climate (>25 C),9.0,6569.935714285714
1991-2020,Africa,Equatorial Guinea,1084066.4848484849,Moderate climate (5 C-25 C),3.875,18897.752200000003
1991-2020,Africa,Eritrea,2682689.6666666665,Hot climate (>25 C),9.5,1377.346857142857
1991-2020,Europe,Estonia,1372181.4545454546,Moderate climate (5 C-25 C),41.72727272727273,24666.65303030303
1991-2020,Africa,Ethiopia,85304128.0,Moderate climate (5 C-25 C),23.8,1458.684
1991-2020,Oceania,Fiji,873497.2121212122,Moderate climate (5 C-25 C),17.8,9513.462
1991-2020,Europe,Finland,5307814.303030303,Cold climate (<=5 C),104.70370370370371,37552.29914285714
1991-2020,Europe,France,63624288.03030303,Moderate climate (5 C-25 C),299.7,37277.85942857143
1991-2020,Africa,Gabon,1645031.0303030303,Hot climate (>25 C),7.625,15350.510857142857
1991-2020,Asia,Georgia,4024471.0303030303,Moderate climate (5 C-25 C),24.76923076923077,9808.485625
1991-2020,Europe,Germany,82014094.24242425,Moderate climate (5 C-25 C),313.962962962963,40741.38257142857
1991-2020,Africa,Ghana,24055092.78787879,Hot climate (>25 C),20.666666666666668,4063.214857142857
1991-2020,Europe,Greece,10780184.0,Moderate climate (5 C-25 C),93.85714285714286,25540.904285714285
1991-2020,North America,Grenada,110211.66666666667,Hot climate (>25 C),5.875,11435.010857142857
1991-2020,North America,Guatemala,13684145.030303031,Moderate climate (5 C-25 C),21.444444444444443,6530.8802857142855
1991-2020,Africa,Guinea,10054578.848484848,Hot climate (>25 C),5.625,1714.8247714285715
1991-2020,Africa,Guinea-Bissau,1505807.8484848484,Hot climate (>25 C),3.5714285714285716,1646.9569428571428
1991-2020,South America,Guyana,767413.2424242424,Hot climate (>25 C),6.0,15352.668571428572
1991-2020,North America,Haiti,9340580.787878787,Moderate climate (5 C-25 C),6.833333333333333,2563.3334285714286
1991-2020,North America,Honduras,7837933.2727272725,Moderate climate (5 C-25 C),18.22222222222222,4020.950285714286
1991-2020,Europe,Hungary,10039009.121212121,Moderate climate (5 C-25 C),124.89655172413794,23151.735142857142
1991-2020,Europe,Iceland,310212.7272727273,Cold climate (<=5 C),16.333333333333332,41509.256571428574
1991-2020,Asia,India,1180339146.6363637,Moderate climate (5 C-25 C),40.38095238095238,4293.755999999999
1991-2020,Asia,Indonesia,236536156.36363637,Hot climate (>25 C),37.875,8461.221142857143
1991-2020,Asia,Iraq,30325424.545454547,Moderate climate (5 C-25 C),9.25,11431.111304347825
