nom,ID,pays,discipline,année,médaille,saison
"Bradley Raymond ""Brad"" Gushue",86875,Canada,Curling,2006,1,Winter
"Bradley Wilfred ""Brad"" Schlegel",212992,Canada,Ice Hockey,1992,2,Winter
Brendan Frederick Shanahan,217435,Canada,Ice Hockey,2002,1,Winter
Brenden Morrow,163981,Canada,Ice Hockey,2010,1,Winter
Brent Seabrook,215268,Canada,Ice Hockey,2010,1,Winter
Brett Andrew Hull,100765,United States,Ice Hockey,2002,1,Winter
Brett Camerota,34231,United States,Nordic Combined,2010,1,Winter
Brian Carter Tutt,245335,Canada,Ice Hockey,1992,1,Winter
Brian Christopher Rafalski,195721,United States,Ice Hockey,2002,2,Winter
Brian Hansen,90169,United States,Speed Skating,2010,1,Winter
Brian Joseph Leetch,135656,United States,Ice Hockey,2002,1,Winter
Brian Lee Rolston,203546,United States,Ice Hockey,2002,1,Winter
Brian Lee Shimer,218562,United States-2,Bobsleigh,2002,1,Winter
Brian Martin,150544,United States-2,Luge,1998,2,Winter
Brian Savage,211447,Canada,Ice Hockey,1994,1,Winter
Brianna Decker,52399,United States,Ice Hockey,2014,1,Winter
Brianne Alexandra Jenner,107439,Canada,Ice Hockey,2014,1,Winter
Brianne Lea McLaughlin,154977,United States,Ice Hockey,2010,1,Winter
Brigitte Albrecht-Loretan,4146,Switzerland,Cross Country Skiing,2002,1,Winter
Brigitte Kck,122289,Austria,Snowboarding,1998,1,Winter
Bror Karl Stefan rnskog,178080,Sweden,Ice Hockey,1994,1,Winter
Bruno Kernen,116179,Switzerland,Alpine Skiing,2006,1,Winter
Bruno Mingeon,159728,France,Bobsleigh,1998,1,Winter
Bryon Wilson,261421,United States,Freestyle Skiing,2010,1,Winter
Byeon Cheon-Sa,33102,South Korea,Short Track Speed Skating,2006,1,Winter
Caitlin Kinder Cahow,33510,United States,Ice Hockey,2006,2,Winter
Carey Price,193067,Canada,Ice Hockey,2014,1,Winter
Carina Vogt,253776,Germany,Ski Jumping,2014,1,Winter
Carl Christian Due-Boje,59364,Sweden,Ice Hockey,1994,1,Winter
Carl Daniel Tjrnqvist,240619,Sweden,Ice Hockey,2006,1,Winter
Carl Dwayne Norris,173069,Canada,Ice Hockey,1994,1,Winter
Carl Eduard Verheijen,251652,Netherlands,Speed Skating,2006,2,Winter
Carl Henrik Zetterberg,268632,Sweden,Ice Hockey,2006,2,Winter
Carl Marcus Joakim Hellner,93747,Sweden,Cross Country Skiing,2010,4,Winter
Carl Oliver Ruud Hagelin,88139,Sweden,Ice Hockey,2014,1,Winter
Carl Wilhelm Loui Eriksson,64412,Sweden,Ice Hockey,2014,1,Winter
Carla MacLeod,145672,Canada,Ice Hockey,2006,2,Winter
Carlo Janka,106127,Switzerland,Alpine Skiing,2010,1,Winter
Carole Hlne Merle (-Pellet),157144,France,Alpine Skiing,1992,1,Winter
Carole Montillet-Carles,162462,France,Alpine Skiing,2002,1,Winter
Carolina Kostner,125074,Italy,Figure Skating,2014,1,Winter
Caroline Ouellette,179275,Canada,Ice Hockey,2002,4,Winter
Carolyn Darbyshire-McRory,49242,Canada,Curling,2010,1,Winter
Carsten Embach,63358,Germany-1,Bobsleigh,1994,2,Winter
Carter Rycroft,206896,Canada,Curling,2002,1,Winter
Casey J. FitzRandolph,69988,United States,Speed Skating,2002,1,Winter
Cassie Dawin Campbell (-Pascall),34315,Canada,Ice Hockey,1998,3,Winter
"Catherine Michelle ""Cammi"" Granato (-Ferraro)",83352,United States,Ice Hockey,1998,2,Winter
Catherine Ward,257034,Canada,Ice Hockey,2010,2,Winter
Cathy Ann Turner,245146,United States,Short Track Speed Skating,1992,4,Winter
Catriona Ann Le May Doan,134121,Canada,Speed Skating,1998,3,Winter
Cdric Grand,83365,Switzerland-1,Bobsleigh,2006,1,Winter
Cecilia Christine Elisabeth Andersson,6952,Sweden,Ice Hockey,2006,1,Winter
Chad Paul Hedrick,92974,United States,Speed Skating,2006,5,Winter
Chae Ji-Hun,38039,South Korea,Short Track Speed Skating,1994,3,Winter
Chanda Leigh Gunn,86578,United States,Ice Hockey,2006,1,Winter
Chandra Crawford,45932,Canada,Cross Country Skiing,2006,1,Winter
Charle Cournoyer,45471,Canada,Short Track Speed Skating,2014,1,Winter
