nom,ID,pays,discipline,année,médaille,saison
Andreas Kirchner,119856,East Germany-2,Bobsleigh,1980,2,Winter
Andreas Kofler,122488,Austria,Ski Jumping,2006,3,Winter
Andreas Kunz,129120,East Germany,Nordic Combined,1968,1,Winter
Andreas Linger,140045,Austria-1,Luge,2006,3,Winter
Andreas Matt,152716,Austria,Freestyle Skiing,2010,1,Winter
Andreas Schaad,212134,Switzerland,Nordic Combined,1988,2,Winter
Andreas Schifferer,212791,Austria,Alpine Skiing,2002,1,Winter
Andreas Schltter,213095,Germany,Cross Country Skiing,2002,2,Winter
Andreas Wank,256970,Germany,Ski Jumping,2010,2,Winter
Andreas Wellinger,258664,Germany,Ski Jumping,2014,1,Winter
Andreas Widhlzl,260046,Austria,Ski Jumping,1998,3,Winter
Andreas Zingerle,269953,Italy,Biathlon,1988,1,Winter
"Andrew Alexander ""Andy"" Gabel",74375,United States,Short Track Speed Skating,1994,1,Winter
Andrew John Murtha,166471,Australia,Short Track Speed Skating,1994,1,Winter
Andrew Weibrecht,258219,United States,Alpine Skiing,2010,2,Winter
Andrey Aleksandrovich Suraykin,232519,Soviet Union-2,Figure Skating,1972,1,Winter
Andrey Anatolyevich Bukin,31739,Soviet Union-1,Figure Skating,1984,2,Winter
Andrey Nikolayevich Kovalenko,125750,Unified Team,Ice Hockey,1992,2,Winter
Andrey Olegovich Minenkov,159687,Soviet Union-2,Figure Skating,1976,2,Winter
Andrey Valentinovich Khomutov,117231,Soviet Union,Ice Hockey,1984,3,Winter
Andrey Vasilyevich Nikolishin,171702,Russia,Ice Hockey,2002,1,Winter
Andrey Viktorovich Trefilov,243142,Unified Team,Ice Hockey,1992,2,Winter
Andrey Vyacheslavovich Lomakin,141783,Soviet Union,Ice Hockey,1988,1,Winter
Andris ics,219316,Latvia-1,Luge,2010,3,Winter
Andrs Sallay,208672,Hungary,Figure Skating,1980,1,Winter
Andrus Veerpalu,250854,Estonia,Cross Country Skiing,2002,3,Winter
"Anett Ptzsch (-Witt, -Rauschenbach)",192230,East Germany,Figure Skating,1980,1,Winter
Anette Be (-Libk-),27835,Norway,Cross Country Skiing,1980,1,Winter
Anette Charlotte Norberg,172825,Sweden,Curling,2006,2,Winter
Anfisa Anatolyevna Reztsova (Romanova-),199687,Unified Team,Biathlon,1992,3,Winter
Anfisa Anatolyevna Reztsova (Romanova-),199685,Soviet Union,Cross Country Skiing,1988,2,Winter
Angela Cutrone,47468,Canada,Short Track Speed Skating,1992,1,Winter
Angela Frautschi,72550,Switzerland,Ice Hockey,2014,1,Winter
Angela Marie Ruggiero,205901,United States,Ice Hockey,1998,4,Winter
Angelika Dnhaupt,59868,West Germany,Luge,1968,1,Winter
Angelika Neuner,170123,Austria,Luge,1992,2,Winter
Anita Moen-Guidon (-Moen Bonden),161073,Norway,Cross Country Skiing,1994,5,Winter
Anita Wachter (-Salzgeber),255252,Austria,Alpine Skiing,1988,3,Winter
Anja Huber (-Selbach),100197,Germany,Skeleton,2010,1,Winter
Anja Schneiderheinze (-Stckel),213683,Germany-1,Bobsleigh,2006,1,Winter
Anja Sofia Tess Prson,182620,Sweden,Alpine Skiing,2002,6,Winter
Anja Stiefel,229470,Switzerland,Ice Hockey,2014,1,Winter
Anke Baier-Loef,12608,Germany,Speed Skating,1994,1,Winter
Anke Karstens,113999,Germany,Snowboarding,2014,1,Winter
Ann Elen Skjelbreid,222248,Norway,Biathlon,1998,2,Winter
Ann Kristin Aafedt Flatland,70193,Norway,Biathlon,2014,1,Winter
Ann-Louise Carina Edstrand,61419,Sweden,Ice Hockey,2002,2,Winter
Anna Christina Andersson,6933,Sweden,Ice Hockey,2002,1,Winter
"Anna Christine ""Anni"" Friesinger-Postma",73209,Germany,Speed Skating,1998,5,Winter
Anna Fenninger (-Veith),67764,Austria,Alpine Skiing,2014,2,Winter
Anna Helene Ottosson (-Blixth),179190,Sweden,Alpine Skiing,2006,1,Winter
Anna Ida Holmlund,97847,Sweden,Freestyle Skiing,2014,1,Winter
Anna Ivanovna Bogaly-Titovets,24246,Russia,Biathlon,2006,2,Winter
"Anna Johanna Geertruida Maria ""Annie"" Borckink",25666,Netherlands,Speed Skating,1980,1,Winter
Anna Katarina Nyberg,174136,Sweden,Curling,1998,1,Winter
